gen,nevals,avg,min
0,3000,484248371.5732644,6337.2277734375
1,3000,60239646.579785205,6283.6439453125
2,3000,34068859.92717446,6361.6248828125
3,3000,31910585.402064275,6311.5377734375
4,3000,31292421.713370558,6309.5915234375
5,3000,29256251.108208958,6352.999765625
6,3000,28938110.47128311,6300.75515625
7,3000,32595159.959884208,6289.9450390625
8,3000,29712369.686191197,6288.9113671875
9,3000,28406220.7630253,6479.695703125
10,3000,30381473.83639691,6487.50296875
11,3000,28439660.030779257,6320.6200390625
12,3000,28456145.260995284,6283.97234375
13,3000,29175433.14729063,6285.1155859375
14,3000,27242783.202984594,6316.4237109375
15,3000,28216413.751239605,6319.2248046875
16,3000,29787068.12645492,6283.584296875
17,3000,26442830.2335779,6405.61734375
18,3000,28421164.434899382,6302.8462890625
19,3000,26675370.012853492,6308.8372265625
20,3000,29712657.13008129,6684.70484375
21,3000,27337341.665940512,6285.6133984375
22,3000,27887423.57742225,6313.1394140625
23,3000,27535484.333982207,6328.7787890625
24,3000,30514369.734094284,6354.46125
25,3000,29648564.882865623,6335.3042578125
26,3000,26449708.30212242,6417.8785546875
27,3000,26521458.920404505,6321.672734375
28,3000,27465941.728059947,6321.13046875
29,3000,26128685.456588395,6388.5381640625
30,3000,27247523.46869669,6283.65796875
31,3000,27316529.39024892,6289.03140625
32,3000,24682407.535470624,6938.3483203125
33,3000,28263110.45556137,6605.073984375
34,3000,27976880.802256066,6292.2858984375
35,3000,27484425.648196783,6357.0648828125
36,3000,26220616.562170867,6284.20453125
37,3000,26850829.89499113,6300.556015625
38,3000,26519810.274845112,6309.9765625
39,3000,26509111.219463643,6297.6427734375
40,3000,28246974.537278477,6287.6261328125
41,3000,26674725.380636275,6765.1137890625
42,3000,27022278.596611355,6341.6870703125
43,3000,26235645.035969425,6286.0465625
44,3000,26944663.368886042,6333.0551953125
45,3000,26511275.809733305,6476.015234375
46,3000,27450003.90667396,6417.6145703125
47,3000,27191713.012007385,6482.475390625
48,3000,29908347.32803746,6338.77609375
49,3000,27094472.481791157,6382.78984375
